evaluation_id,run_id,step,candidate_id,cr,ci,model_id,driver,degree,channel,alpha,max_iter,score,pearson01,spearman01,mae01,gradient01,spectral01,autocorrelation01,entropy,anisotropy,quantization_index,compression_ratio,escaped_fraction,runtime_ms,accepted,is_best,seed,timestamp,metrics_json
67,run_1789774700_1967,7,66,-0.7212484929632696,0.2707448912389934,V1_INV_PI,V1,2,0,1.0,200,0.568518,0.435655,0.573707,0.624448,0.437117,0.432077,0.996681,0.380077,0.028769,0.233333,0.412222,1.0,4.3,0,0,,2026-09-19T02:38:46,
68,run_1789774700_1967,7,67,-0.7204219304632696,0.27157145373899344,V1_INV_PI,V1,2,0,1.0,200,0.572007,0.443642,0.573768,0.622828,0.443241,0.438291,0.99585,0.390432,0.036075,0.234444,0.427778,0.997778,3.9,0,0,,2026-09-19T02:38:46,
69,run_1789774700_1967,7,68,-0.7204219304632696,0.2699183287389934,V1_INV_PI,V1,2,0,1.0,200,0.574448,0.445992,0.574222,0.625259,0.445786,0.443584,0.99748,0.388141,0.037585,0.234444,0.414444,1.0,5.1,0,0,,2026-09-19T02:38:46,
70,run_1789774700_1967,7,69,-0.7198374625144451,0.2713293591878179,V1_INV_PI,V1,2,0,1.0,200,0.566432,0.433889,0.573032,0.621846,0.438345,0.423602,0.996244,0.391071,0.031952,0.234444,0.403333,0.998889,4.1,0,0,,2026-09-19T02:38:46,
71,run_1789774700_1967,7,70,-0.7198374625144451,0.2701604232901689,V1_INV_PI,V1,2,0,1.0,200,0.577303,0.452387,0.574467,0.624038,0.450973,0.448003,0.99723,0.396746,0.044069,0.234444,0.405556,0.998889,3.9,0,1,,2026-09-19T02:38:46,
72,run_1789774700_1967,7,71,-0.7210063984120941,0.2713293591878179,V1_INV_PI,V1,2,0,1.0,200,0.573168,0.444959,0.574494,0.626191,0.439588,0.443186,0.996061,0.383172,0.051387,0.234444,0.392222,1.0,3.8,0,0,,2026-09-19T02:38:46,
73,run_1789774700_1967,7,72,-0.7210063984120941,0.2701604232901689,V1_INV_PI,V1,2,0,1.0,200,0.572244,0.442959,0.573615,0.625601,0.442431,0.438151,0.996899,0.380571,0.021877,0.233333,0.383333,1.0,4.0,0,0,,2026-09-19T02:38:46,
74,run_1789774700_1967,7,73,-0.7210569095095064,0.2715449781583053,V1_INV_PI,V1,2,0,1.0,200,0.572071,0.443183,0.574306,0.62307,0.443102,0.438366,0.996323,0.387985,0.047055,0.234444,0.398889,0.997778,3.8,0,0,,2026-09-19T02:38:46,
75,run_1789774700_1967,8,74,-0.7188869156394452,0.2701604232901689,V1_INV_PI,V1,2,0,1.0,200,0.567934,0.434222,0.573766,0.622757,0.441934,0.42706,0.997007,0.392754,0.019455,0.234444,0.398889,1.0,4.1,0,0,,2026-09-19T02:38:46,
76,run_1789774700_1967,8,75,-0.7207880093894451,0.2701604232901689,V1_INV_PI,V1,2,0,1.0,200,0.570191,0.439767,0.573901,0.625116,0.439402,0.433825,0.996083,0.380101,0.026817,0.233333,0.392222,0.998889,4.0,0,0,,2026-09-19T02:38:46,
77,run_1789774700_1967,8,76,-0.7198374625144451,0.27111097016516894,V1_INV_PI,V1,2,0,1.0,200,0.570351,0.440811,0.573818,0.621097,0.448077,0.428141,0.996522,0.393175,0.02403,0.234444,0.41,0.997778,3.8,0,0,,2026-09-19T02:38:46,
78,run_1789774700_1967,8,77,-0.7198374625144451,0.2692098764151689,V1_INV_PI,V1,2,0,1.0,200,0.571121,0.442452,0.573624,0.623142,0.448242,0.432301,0.992741,0.386751,0.018853,0.235556,0.398889,0.998889,3.9,0,0,,2026-09-19T02:38:46,
79,run_1789774700_1967,8,78,-0.7191653243732969,0.2708325614313171,V1_INV_PI,V1,2,0,1.0,200,0.565986,0.432223,0.572943,0.621028,0.437764,0.42364,0.997492,0.394921,0.030171,0.234444,0.403333,1.0,3.8,0,0,,2026-09-19T02:38:46,
80,run_1789774700_1967,8,79,-0.7191653243732969,0.26948828514902073,V1_INV_PI,V1,2,0,1.0,200,0.570359,0.440274,0.573425,0.62227,0.442851,0.433212,0.996847,0.394641,0.009852,0.234444,0.405556,0.998889,5.0,0,0,,2026-09-19T02:38:46,
81,run_1789774700_1967,8,80,-0.7205096006555933,0.2708325614313171,V1_INV_PI,V1,2,0,1.0,200,0.573098,0.445074,0.574298,0.623572,0.448169,0.437065,0.99576,0.386529,0.048177,0.234444,0.398889,0.997778,3.8,0,0,,2026-09-19T02:38:46,
82,run_1789774700_1967,8,81,-0.7205096006555933,0.26948828514902073,V1_INV_PI,V1,2,0,1.0,200,0.575813,0.448898,0.574676,0.625649,0.444663,0.448642,0.99696,0.380545,0.041656,0.234444,0.407778,0.997778,3.8,0,0,,2026-09-19T02:38:46,
83,run_1789774700_1967,8,82,-0.7202110050369154,0.27081626524441893,V1_INV_PI,V1,2,0,1.0,200,0.57472,0.447001,0.574039,0.625091,0.447596,0.442307,0.997434,0.387943,0.050966,0.234444,0.403333,0.997778,3.9,0,0,,2026-09-19T02:38:46,
84,run_1789774700_1967,9,83,-0.7193621890769452,0.2701604232901689,V1_INV_PI,V1,2,0,1.0,200,0.579026,0.455552,0.575489,0.624719,0.449618,0.456273,0.994818,0.396457,0.029567,0.234444,0.412222,0.996667,4.1,0,1,,2026-09-19T02:38:46,
85,run_1789774700_1967,9,84,-0.7203127359519451,0.2701604232901689,V1_INV_PI,V1,2,0,1.0,200,0.571044,0.440365,0.573875,0.623657,0.44393,0.434643,0.996911,0.388512,0.044379,0.234444,0.414444,1.0,3.9,0,0,,2026-09-19T02:38:46,
86,run_1789774700_1967,9,85,-0.7198374625144451,0.2706356967276689,V1_INV_PI,V1,2,0,1.0,200,0.573071,0.443954,0.57437,0.623103,0.445993,0.439323,0.997762,0.391552,0.049396,0.234444,0.418889,0.997778,3.8,0,0,,2026-09-19T02:38:46,
87,run_1789774700_1967,9,86,-0.7198374625144451,0.26968514985266895,V1_INV_PI,V1,2,0,1.0,200,0.56993,0.440002,0.574144,0.623328,0.436245,0.435464,0.997014,0.391184,0.02875,0.234444,0.401111,0.996667,3.9,0,0,,2026-09-19T02:38:46,
88,run_1789774700_1967,9,87,-0.7195013934438711,0.270496492360743,V1_INV_PI,V1,2,0,1.0,200,0.573662,0.445313,0.574749,0.624885,0.446921,0.440223,0.995447,0.391826,0.04883,0.234444,0.412222,0.997778,3.8,0,0,,2026-09-19T02:38:46,
89,run_1789774700_1967,9,88,-0.7195013934438711,0.26982435421959483,V1_INV_PI,V1,2,0,1.0,200,0.572204,0.443055,0.574146,0.624151,0.442679,0.438767,0.996523,0.388275,0.04639,0.234444,0.398889,0.998889,3.9,0,0,,2026-09-19T02:38:46,
90,run_1789774700_1967,9,89,-0.7201735315850192,0.270496492360743,V1_INV_PI,V1,2,0,1.0,200,0.578543,0.453912,0.574573,0.625508,0.450263,0.453131,0.996958,0.391837,0.050028,0.234444,0.405556,0.996667,3.8,0,0,,2026-09-19T02:38:46,
91,run_1789774700_1967,9,90,-0.7201735315850192,0.26982435421959483,V1_INV_PI,V1,2,0,1.0,200,0.576073,0.449955,0.574535,0.625746,0.445564,0.447895,0.996821,0.388636,0.025462,0.234444,0.405556,0.998889,3.9,0,0,,2026-09-19T02:38:46,
92,run_1789774700_1967,9,91,-0.7200197260753893,0.27022119936407185,V1_INV_PI,V1,2,0,1.0,200,0.577064,0.452246,0.574209,0.625482,0.450754,0.44745,0.995456,0.390854,0.034779,0.234444,0.405556,0.997778,3.8,0,0,,2026-09-19T02:38:46,
93,run_1789774700_1967,10,92,-0.7188156246238202,0.2701604232901689,V1_INV_PI,V1,2,0,1.0,200,0.568519,0.43609,0.574053,0.624139,0.440564,0.429026,0.995529,0.389545,0.018516,0.234444,0.398889,0.998889,4.2,0,0,,2026-09-19T02:38:46,
94,run_1789774700_1967,10,93,-0.7199087535300701,0.2701604232901689,V1_INV_PI,V1,2,0,1.0,200,0.571435,0.441771,0.57359,0.622791,0.443176,0.435959,0.997768,0.391923,0.032636,0.234444,0.41,1.0,3.8,0,0,,2026-09-19T02:38:46,
95,run_1789774700_1967,10,94,-0.7193621890769452,0.27070698774329394,V1_INV_PI,V1,2,0,1.0,200,0.567341,0.433712,0.573817,0.622839,0.441733,0.424202,0.996831,0.390673,0.043522,0.234444,0.401111,0.998889,3.9,0,0,,2026-09-19T02:38:46,
96,run_1789774700_1967,10,95,-0.7193621890769452,0.2696138588370439,V1_INV_PI,V1,2,0,1.0,200,0.568645,0.437231,0.573488,0.622049,0.441351,0.429434,0.995929,0.390147,0.020613,0.234444,0.407778,0.998889,3.8,0,0,,2026-09-19T02:38:46,
